lat,lon,sst_anomaly_c,mean_el_nino_nino34_anomaly_c,el_nino_winter_count
-24.5,233.5,-0.14377137,1.616694413666018,25
-24.5,234.5,-0.1351887,1.616694413666018,25
-24.5,235.5,-0.1269831,1.616694413666018,25
-24.5,236.5,-0.11679647,1.616694413666018,25
-24.5,237.5,-0.10359202,1.616694413666018,25
-24.5,238.5,-0.090720885,1.616694413666018,25
-24.5,239.5,-0.07809756,1.616694413666018,25
-24.5,240.5,-0.07021277,1.616694413666018,25
-24.5,241.5,-0.06418641,1.616694413666018,25
-24.5,242.5,-0.05894846,1.616694413666018,25
-24.5,243.5,-0.054176275,1.616694413666018,25
-24.5,244.5,-0.04947176,1.616694413666018,25
-24.5,245.5,-0.04471676,1.616694413666018,25
-24.5,246.5,-0.039950877,1.616694413666018,25
-24.5,247.5,-0.03309248,1.616694413666018,25
-24.5,248.5,-0.021390906,1.616694413666018,25
-24.5,249.5,-0.00970974,1.616694413666018,25
-24.5,250.5,0.0006910229,1.616694413666018,25
-24.5,251.5,0.009338941,1.616694413666018,25
-24.5,252.5,0.016894074,1.616694413666018,25
-24.5,253.5,0.024547167,1.616694413666018,25
-24.5,254.5,0.03309163,1.616694413666018,25
-24.5,255.5,0.042343684,1.616694413666018,25
-24.5,256.5,0.051832084,1.616694413666018,25
-24.5,257.5,0.06367172,1.616694413666018,25
-24.5,258.5,0.07706946,1.616694413666018,25
-24.5,259.5,0.09502354,1.616694413666018,25
-24.5,260.5,0.1136565,1.616694413666018,25
-24.5,261.5,0.13218252,1.616694413666018,25
-24.5,262.5,0.15074301,1.616694413666018,25
-24.5,263.5,0.16956909,1.616694413666018,25
-24.5,264.5,0.18868138,1.616694413666018,25
-24.5,265.5,0.20709942,1.616694413666018,25
-24.5,266.5,0.22590917,1.616694413666018,25
-24.5,267.5,0.24060094,1.616694413666018,25
-24.5,268.5,0.25426656,1.616694413666018,25
-24.5,269.5,0.26685017,1.616694413666018,25
-24.5,270.5,0.28026918,1.616694413666018,25
-24.5,271.5,0.2936087,1.616694413666018,25
-24.5,272.5,0.30454692,1.616694413666018,25
-24.5,273.5,0.31242183,1.616694413666018,25
-24.5,274.5,0.3182621,1.616694413666018,25
-24.5,275.5,0.32464495,1.616694413666018,25
-24.5,276.5,0.3283611,1.616694413666018,25
-24.5,277.5,0.32909524,1.616694413666018,25
-24.5,278.5,0.32557988,1.616694413666018,25
-24.5,279.5,0.3148201,1.616694413666018,25
-24.5,280.5,0.2981092,1.616694413666018,25
-24.5,281.5,0.28226712,1.616694413666018,25
-24.5,282.5,0.2743436,1.616694413666018,25
-24.5,283.5,0.2681429,1.616694413666018,25
-24.5,284.5,0.2634717,1.616694413666018,25
-24.5,285.5,0.261557,1.616694413666018,25
-24.5,286.5,0.27248827,1.616694413666018,25
-24.5,287.5,0.30278993,1.616694413666018,25
-24.5,288.5,0.3364943,1.616694413666018,25
-24.5,289.5,0.35425735,1.616694413666018,25
-23.5,120.5,,1.616694413666018,25
-23.5,121.5,,1.616694413666018,25
-23.5,122.5,,1.616694413666018,25
-23.5,123.5,,1.616694413666018,25
-23.5,124.5,,1.616694413666018,25
-23.5,125.5,,1.616694413666018,25
-23.5,126.5,,1.616694413666018,25
-23.5,127.5,,1.616694413666018,25
-23.5,128.5,,1.616694413666018,25
-23.5,129.5,,1.616694413666018,25
-23.5,130.5,,1.616694413666018,25
-23.5,131.5,,1.616694413666018,25
-23.5,132.5,,1.616694413666018,25
-23.5,133.5,,1.616694413666018,25
-23.5,134.5,,1.616694413666018,25
-23.5,135.5,,1.616694413666018,25
-23.5,136.5,,1.616694413666018,25
-23.5,137.5,,1.616694413666018,25
-23.5,138.5,,1.616694413666018,25
-23.5,139.5,,1.616694413666018,25
-23.5,140.5,,1.616694413666018,25
-23.5,141.5,,1.616694413666018,25
-23.5,142.5,,1.616694413666018,25
-23.5,143.5,,1.616694413666018,25
-23.5,144.5,,1.616694413666018,25
-23.5,145.5,,1.616694413666018,25
-23.5,146.5,,1.616694413666018,25
-23.5,147.5,,1.616694413666018,25
-23.5,148.5,,1.616694413666018,25
-23.5,149.5,,1.616694413666018,25
-23.5,150.5,,1.616694413666018,25
-23.5,151.5,-0.019846143,1.616694413666018,25
-23.5,152.5,-0.04613056,1.616694413666018,25
-23.5,153.5,-0.0759838,1.616694413666018,25
-23.5,154.5,-0.08172326,1.616694413666018,25
-23.5,155.5,-0.06661173,1.616694413666018,25
-23.5,156.5,-0.06827344,1.616694413666018,25
-23.5,157.5,-0.105519526,1.616694413666018,25
-23.5,158.5,-0.1459391,1.616694413666018,25
-23.5,159.5,-0.17860855,1.616694413666018,25
-23.5,160.5,-0.21122335,1.616694413666018,25
-23.5,161.5,-0.24057516,1.616694413666018,25
